2001:240:1f1:97::,2001:240:1f1:af:ffff:ffff:ffff:ffff,AU
2001:240:1f1:b0::,2001:240:1f1:b0:ffff:ffff:ffff:ffff,JP
2001:240:1f1:b1::,2001:240:1f1:b1:ffff:ffff:ffff:ffff,AU
2001:240:1f1:b2::,2001:240:1f1:b2:ffff:ffff:ffff:ffff,JP
2001:240:1f1:b3::,2001:240:1f1:be:ffff:ffff:ffff:ffff,AU
2001:240:1f1:bf::,2001:240:1f1:bf:ffff:ffff:ffff:ffff,JP
2001:240:1f1:c0::,2001:240:1f2:7:ffff:ffff:ffff:ffff,AU
2001:240:1f2:8::,2001:240:1f2:8:ffff:ffff:ffff:ffff,JP
2001:240:1f2:9::,2001:240:1f2:10:ffff:ffff:ffff:ffff,AU
2001:240:1f2:11::,2001:240:1f2:12:ffff:ffff:ffff:ffff,JP
2001:240:1f2:13::,2001:240:1f2:2b:ffff:ffff:ffff:ffff,AU
2001:240:1f2:2c::,2001:240:1f2:2c:ffff:ffff:ffff:ffff,JP
2001:240:1f2:2d::,2001:240:1f2:2e:ffff:ffff:ffff:ffff,AU
2001:240:1f2:2f::,2001:240:1f2:2f:ffff:ffff:ffff:ffff,JP
2001:240:1f2:30::,2001:240:1f2:32:ffff:ffff:ffff:ffff,AU
2001:240:1f2:33::,2001:240:1f2:34:ffff:ffff:ffff:ffff,JP
2001:240:1f2:35::,2001:240:1f3::ffff:ffff:ffff:ffff,AU
2001:240:1f3:1::,2001:240:1f3:1:ffff:ffff:ffff:ffff,JP
2001:240:1f3:2::,2001:240:1f3:12:ffff:ffff:ffff:ffff,AU
2001:240:1f3:13::,2001:240:1f3:14:ffff:ffff:ffff:ffff,JP
2001:240:1f3:15::,2001:240:1f3:17:ffff:ffff:ffff:ffff,AU
2001:240:1f3:18::,2001:240:1f3:1a:ffff:ffff:ffff:ffff,JP
2001:240:1f3:1b::,2001:240:1407:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1408::,2001:240:1408:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1409::,2001:240:140d:ffff:ffff:ffff:ffff:ffff,AU
2001:240:140e::,2001:240:140e:ffff:ffff:ffff:ffff:ffff,JP
2001:240:140f::,2001:240:1413:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1414::,2001:240:1415:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1416::,2001:240:141c:ffff:ffff:ffff:ffff:ffff,AU
2001:240:141d::,2001:240:141e:ffff:ffff:ffff:ffff:ffff,JP
2001:240:141f::,2001:240:1426:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1427::,2001:240:1427:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1428::,2001:240:142b:ffff:ffff:ffff:ffff:ffff,AU
2001:240:142c::,2001:240:142c:ffff:ffff:ffff:ffff:ffff,JP
2001:240:142d::,2001:240:1431:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1432::,2001:240:1432:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1433::,2001:240:1434:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1435::,2001:240:1435:ffff:ffff:ffff:ffff:ffff,JP
2001:240:1436::,2001:240:1454:ffff:ffff:ffff:ffff:ffff,AU
2001:240:1455::,2001:240:1455:ffff:ffff:ffff:ffff:ffff,JP
